kanji,meaning,readings,compounds,sentence,kana,translation,radicals,confusables
倍,"double, twice, times, fold",バイ,"倍 (ばい·0) = twice, double, times, -fold; 倍増 (ばいぞう·0) = double; 倍率 (ばいりつ·0) = magnification, leverage, amplification, scaling factor, scale factor",二の二倍は四。,,二 の 二倍 は 四,化 口 立,"位,舌,石"
候,"climate, season, weather",コウ; そうろう,"気候 (きこう·0) = climate; 候補 (こうほ·1) = candidate, contender, prospect, pick, choice, list; 天候 (てんこう·0) = weather; 立候補 (りっこうほ·3) = announcing candidacy; 徴候 (ちょうこう·0) = sign, indication, omen, symptom",ひどい気候です。,,酷い(ひどい) 気候 です,｜ 化 矢 ユ 乞,"侯,竹,脩"
停,"halt, stopping","テイ; と.める, と.まる","調停 (ちょうてい·0) = arbitration, conciliation, mediation; 停学 (ていがく·0) = suspension from school; 停止 (ていし·0) = suspension, interruption, stoppage, ban, standstill, halt; 停車 (ていしゃ·0) = stopping (eg train); 停滞 (ていたい·0) = stagnation, tie-up, congestion, retention, accumulation, falling into arrears",あ、停電だ。,,あ 停電 だ,化 口 亅 亠 冖 一,"何,伺,亭"
健,"healthy, health, strength, persistence",ケン; すこ.やか,"穏健 (おんけん·0) = quiet, dependable, uniform, (politically) moderate; 健やか (すこやか·2) = vigorous, healthy, sound; 健康 (けんこう·0) = health, sound, wholesome; 健全 (けんぜん·0) = health, soundness, wholesome; 保健 (ほけん·0) = health preservation, hygiene, sanitation",彼は健康だ。,,彼(かれ) は 健康 だ,化 廴 聿,"津,書,律"
側,"side, lean, oppose, regret","ソク; かわ, がわ, そば","縁側 (えんがわ·0) = veranda, porch, balcony, open corridor; 側面 (そくめん·0,3) = side, flank, sidelight, lateral; 内側 (うちがわ·0) = inside, interior, inner part; 片側 (かたがわ·0) = one side; 側 (わき·0) = side, aside, armpit, back-burner",左側通行を守れ。,,左側通行 を 守る,化 貝 目 ハ 刈,"則,買,賃"
億,"hundred million, 10**8",オク,"億 (おく·1) = 10^8, 100,000,000, hundred million; 億円 (おくえん) = one hundred million yen",出来高は５億株だった。,,出来高 は 億 株(かぶ) だ,音 化 心 日 立,"憶,位,章"
兆,"portent, 10**12, trillion, sign, omen, symptoms","チョウ; きざ.す, きざ.し","兆 (ちょう·1) = sign, omen, indication, portent, 10^12, 1,000,000,000,000, trillion (American), (obs) billion (British); 前兆 (ぜんちょう) = omen, sign",あの雲は雨の前兆だ。,,彼の(あの) 雲 は 雨 の 前兆 だ,儿 冫,"逃,眺,桃"
児,"newborn babe, child, young of animals","ジ, ニ, ゲイ; こ, -こ, -っこ","育児 (いくじ·1) = childcare, nursing, upbringing; 児 (こ·0) = child, young (animal), young woman, young geisha, offshoot, interest, new shares, bird egg, (after a noun or -masu stem) -er (often of young women); 児童 (じどう·1) = children, juvenile; 女の児 (おんなのコ·3) = girl; 小児科 (しょうにか·0) = pediatrics",彼は戦災孤児だ。,,彼(かれ) は 戦災孤児 だ,｜ 日 儿,"曲,旧,晶"
全,"whole, entire, all, complete, fulfill","ゼン; まった.く, すべ.て","安全 (あんぜん·0) = safety, security; 完全 (かんぜん·0) = perfection, completeness; 健全 (けんぜん·0) = health, soundness, wholesome; 全員 (ぜんいん·0) = all members (unanimity), all hands, the whole crew, everyone, everybody; 全集 (ぜんしゅう·0) = complete works",全速前進。,,全速 前進,王 ハ 个,"金,介,八"
公,"public, prince, official, governmental","コウ, ク; おおやけ","公営 (こうえい·0) = public management; 公園 (こうえん·0) = (public) park; 公演 (こうえん·0) = public performance, sumo exhibition in a foreign country; 公開 (こうかい·0) = open to the public; 公害 (こうがい·0) = pollution, public nuisance, contamination",公園で散歩なう。,,公園 で(#2028980) 散歩 ナウ,ハ 厶,"訟,松,聡"
共,"together, both, neither, all, and, alike, with","キョウ; とも, とも.に, -ども","何共 (なんとも) = nothing (with neg. verb), quite, not a bit; 共に (ともに·0,1) = sharing with, participate in, both, alike, together, along with, with, including; 共稼ぎ (ともかせぎ·0,3) = working together, (husband and wife) earning a living together; 共感 (きょうかん·0) = sympathy, empathy, response; 共産主義 (きょうさんしゅぎ·5) = communism, collectivism",共同責任無責任。,,共同責任 無責任,ハ ｜ 一 二,"洪,巽,供"
兵,"soldier, private, troops, army, warfare, strategy, tactics","ヘイ, ヒョウ; つわもの","核兵器 (かくへいき·3) = nuclear weapons; 徴兵 (ちょうへい·0) = conscription, recruitment, enlistment; 兵器 (へいき·1) = arms, weapons, ordinance; 兵士 (へいし·1) = soldier; 兵隊 (へいたい·0) = soldier, sailor",兵士は武装する。,,兵士 は 武装 為る(する),一 斤 ハ,"浜,丘,八"
具,"tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture","グ; そな.える, つぶさ.に","雨具 (あまぐ·2) = rain gear; 家具 (かぐ·1) = furniture; 絵具 (えのぐ·0) = colors, colours, paints; 玩具 (がんぐ·1) = toy; 器具 (きぐ·1) = utensil",具合悪いの？,,具合 悪い(わるい) の,一 ハ 目,"貝,且,慎"
典,"code, ceremony, law, rule","テン, デン","古典 (こてん·0) = old book, classics, classic; 典型 (てんけい·0) = type, pattern, archetypal; 典型的 (てんけいてき·0) = typical, prototypical, representative, stereotypical, model, ideal; ことば典 (ことばてん·0) = dictionary; 百科辞典 (ひゃっかじてん·4) = encyclopedia (encyclopaedia)",その式典は簡素だった。,,其の 式典 は 簡素 だ,｜ 一 日 ハ,"曹,爆,暴"
内,"inside, within, between, among, house, home","ナイ, ダイ; うち","案内 (あんない·3) = information, guidance, leading, to guide, to show (around), to conduct; 以内 (いない·1) = within, inside of, less than; 屋内 (おくない·2) = indoor (court, pool, etc.); 家内 (かない·1) = (my) wife, inside the home, one's family; 境内 (けいだい·1) = compound, grounds",その内訳は？,,其の 内訳 は,人 冂,"丙,柄,納"
冷,"cool, cold (beer, person), chill","レイ; つめ.たい, ひ.える, ひ.や, ひ.ややか, ひ.やす, ひ.やかす, さ.める, さ.ます","寒冷 (かんれい·0) = cold, coldness, chilliness; 冷える (ひえる·2) = to grow cold, to get chilly, to cool down; 冷え込む (ひえこむ·0,3) = to get colder, to get chilled; 冷たい (つべたい·0) = cold (to the touch), chilly, icy, freezing, coldhearted, unfeeling; 冷める (さめる·2) = to become cool, to come down (fever), to cool down (interest), to abate, to subside, to dampen",冷たいなあ。,,冷たい なあ,个 冫 卩 一,"令,今,零"
刀,"sword, saber, knife","トウ; かたな, そり","刀 (とう·1) = (single-edged) sword, katana, dagger, knife, scalpel; 刀剣 (とうけん) = swords, blades",伝家の宝刀をぬく。,,伝家 の 宝刀 を 抜く,,
列,"file, row, rank, tier, column","レツ, レ","系列 (けいれつ·0) = series, sequence, system, order of succession, keiretsu (conglomeration of businesses linked by cross-shareholdings); 行列 (ぎょうれつ·0) = line, procession, matrix; 整列 (せいれつ·0) = standing in a row, forming a line, alignment; 直列 (ちょくれつ·0) = series (eg electrical), serial; 陳列 (ちんれつ·0) = exhibition, display, show",さあ列車がきた。,,さあ 列車 が 来る(くる),刈 歹,"烈,例,裂"
初,"first time, beginning","ショ; はじ.め, はじ.めて, はつ, はつ-, うい-, -そ.める, -ぞ.め","最初 (さいしょ·0) = beginning, outset, first, onset; 初 (はつ·2) = first, new; 初夏 (はつなつ·0) = early summer, fourth month of the lunar calendar; 初期 (しょき·1) = early (days), initial stage, (computer) initial; 初級 (しょきゅう·0) = elementary level",初耳ですね。,,初耳 です ね(#2029080),刀,"辺,召,分"
利,"profit, advantage, benefit",リ; き.く,"営利 (えいり·1) = money-making, commercialized, commercialised; 金利 (きんり·0,1) = interest rates; 権利 (けんり·1) = right, privilege; 勝利 (しょうり·1) = victory, triumph, conquest, success, win; 不利 (ふり·1) = disadvantage, handicap, unfavorable, unfavourable, drawback",利口だね。,,利口 だ ね(#2029080),禾 刈,"莉,痢,梨"
刷,"printing, print","サツ; す.る, -ず.り, -ずり, は.く",印刷 (いんさつ·0) = printing,この本は英国で印刷された。,,此の 本(ほん) は 英国 で(#2028980) 印刷 為れる,刈 巾 尸,"製,制,刺"
副,"vice-, duplicate, copy",フク,"副作用 (ふくさよう·3) = reaction, secondary effect, side effect; 副 (とりわけ·2) = especially, above all",副作用はありませんか。,,副作用 は 有る か,一 刈 口 田,"福,幅,富"
功,"achievement, merits, success, honor, credit","コウ, ク; いさお","功夫 (くふう·0) = device, scheme, devising, scheming, dedication to spiritual improvement (esp. through Zen meditation); 成功 (せいこう·0) = success, hit",彼は成功した。,,彼(かれ) は 成功 為る(する),工 力,"勁,虹,脅"
加,"add, addition, increase, join, include, Canada","カ; くわ.える, くわ.わる","加える (くわえる·0,3) = to append, to sum up, to add (up), to include, to increase, to inflict; 加わる (くわわる·0,3) = to join in, to accede to, to increase, to gain in (influence); 加害者 (かがいしゃ·2) = assailant; 加減 (かげん·0,1) = addition and subtraction, allowance for, degree, extent, measure, condition, state of health, seasoning, flavor, flavour, moderation, adjustment, influence (of the weather), chance; 加工 (かこう·0) = manufacturing, processing, treatment, machining",会話に加われば？,,会話 に 加わる,口 力,"茄,架,嘉"
助,"help, rescue, assist","ジョ; たす.ける, たす.かる, す.ける, すけ","援助 (えんじょ·1) = assistance, aid, support; 救助 (きゅうじょ·1) = relief, aid, rescue; 助かる (たすかる·3) = to be saved, to be rescued, to survive, to be helpful; 助教授 (じょきょうじゅ·2) = assistant professor; 助詞 (じょし·0) = particle, postposition",助けて！,,助けて,目 力,"賀,貝,見"
努,"toil, diligent, as much as possible",ド; つと.める,"努力 (どりょく·1) = great effort, exertion, endeavour, endeavor, effort",説得に努めた。,,説得 に 努める,女 又 力,"奴,皮,怒"
労,"labor, thank for, reward for, toil, trouble","ロウ; ろう.する, いたわ.る, いた.ずき, ねぎら, つか.れる, ねぎら.う","ご苦労様 (ごくろうさま·2) = thank you very much for your ..., I appreciate your efforts; 過労 (かろう·0) = overwork, strain; 勤労 (きんろう·0) = labor, labour, exertion, diligent service; 苦労 (くろう·1) = troubles, hardships; 疲労 (ひろう·0) = fatigue, weariness",ご苦労様でした。,,ご苦労様 です,尚 力 冖,"覚,蛍,栄"
勇,"courage, cheer up, be in high spirits, bravery, heroism",ユウ; いさ.む,"勇ましい (いさましい·4) = brave, valiant, gallant, courageous; 勇敢 (ゆうかん·0) = brave, heroic, gallant; 勇気 (ゆうき·1) = courage, bravery, valour, valor, nerve, boldness",彼は勇敢だった。,,彼(かれ) は 勇敢 だ,田 力 マ,"湧,男,矛"
勝,"victory, win, prevail, excel","ショウ; か.つ, -が.ち, まさ.る, すぐ.れる, かつ","決勝 (けっしょう·0) = decision of a contest, finals (in sports); 勝手 (かって·0) = one's own convenience, one's way, convenience or ease of use, knowledge of how to use, circumstances, situation (eg financial), environment, kitchen, arbitrary; 勝敗 (しょうはい·0) = victory or defeat, issue (of battle); 勝負 (しょうぶ·1) = victory or defeat, match, contest, game, bout; 勝利 (しょうり·1) = victory, triumph, conquest, success, win",楽勝だよ。,,楽勝 だ よ,月 人 大 二 并 力,"騰,朕,脅"
包,"wrap, pack up, cover, conceal","ホウ; つつ.む, くる.む","包み (つつみ·3) = bundle, package, parcel, bale; 包囲 (ほうい·1) = siege, encirclement, envelopment; 包装 (ほうそう·0) = packing, wrapping; 包む (つつむ·2) = to wrap up, to tuck in, to pack, to do up, to cover with, to dress in, to conceal, to hide, to be engulfed in, to be enveloped by; 小包み (こづつみ·2) = parcel, package",包帯をしなさい。,,包帯 を 為る(する) 為さい,勹 已,"飽,胞,泡"
化,"change, take the form of, influence, enchant, delude, -ization","カ, ケ; ば.ける, ば.かす, ふ.ける, け.する","御化け (おばけ·2) = goblin, apparition, monster, ghost; あっ化 (あっか) = (suffer) deterioration, growing worse, aggravation, degeneration, corruption; 化ける (ばける·2) = to appear in disguise, to take the form of, to change for the worse, to corrupt; 化学 (ばけがく·2) = chemistry, chemical (company); 化石 (かせき·0) = fossil, petrifaction, fossilization, fossilisation",化学が嫌いだ。,,化学 が 嫌い だ,匕,"老,旨,尼"
卒,"graduate, soldier, private, die","ソツ, シュツ; そっ.する, お.える, お.わる, ついに, にわか","卒業 (そつぎょう·0) = graduation, completion (eg of a course), outgrowing something, moving on; 卒先 (そっせん·0) = taking the initiative; 卒直 (そっちょく·0) = frankness, candour, candor, openheartedness",学校を卒業した。,,学校 を 卒業 為る(する),十 人 亠,"翠,衣,汁"
