kanji,meaning,readings,compounds,sentence,kana,translation,radicals,confusables
固,"harden, set, clot, curdle","コ; かた.める, かた.まる, かた.まり, かた.い","頑固 (がんこ·1) = stubbornness, obstinacy; 固まる (かたまる·0) = to harden, to solidify, to become firm, to become certain; 固形 (こけい·0) = solid (body); 固体 (こたい·0) = solid (body), solid matter, solid-state; 固定 (こてい·0) = fixation, fixing (eg salary, capital)",彼は頭が固い。,,彼(かれ) は 頭(あたま) が 硬い,口 十 囗,"個,叶,古"
園,"park, garden, yard, farm",エン; その,"園芸 (えんげい·0) = horticulture, gardening; 学園 (がくえん·0) = academy, campus; 公園 (こうえん·0) = (public) park; 植物園 (しょくぶつえん·4) = botanical garden; 庭園 (ていえん·0) = garden, park",公園で散歩なう。,,公園 で(#2028980) 散歩 ナウ,衣 口 土 囗,"吐,猿,舌"
坂,"slope, incline, hill",ハン; さか,"坂 (さか·2,1) = slope, hill; 坂道 (さかみち·2) = hill road; 上り坂 (のぼりざか·0) = ascent, uphill; 下り坂 (くだりざか·0) = downhill, descent; 急坂 (きゅうはん·0) = steep slope",その坂道を下ろう。,,其の 坂道 を 下る(くだる),土 又 厂,"圧,反,皮"
型,"mould, type, model","ケイ; かた, -がた","型 (がた·2) = model, type (eg of machine, goods, etc.), type, style, pattern, mold (mould), template, model, kata (standard form of a movement, posture, etc); 体型 (たいけい·0) = figure (body); 典型 (てんけい·0) = type, pattern, archetypal; 典型的 (てんけいてき·0) = typical, prototypical, representative, stereotypical, model, ideal; 模型 (もけい·0) = model, dummy, maquette",あなたは朝型？,,貴方(あなた) は 朝型,刈 土 廾 ノ 二 一,"刑,塀,形"
塩,salt,エン; しお,"塩分 (えんぶん·1) = salt, salt content; 塩 (えん·1) = salt; 塩水 (えんすい·0) = salt water, brine; 塩辛い (しおからい·4) = salty (taste)",青菜に塩。,,青菜 に 塩,口 皿 土 ノ 一 人 乞,"告,右,呂"
士,"gentleman, samurai, samurai radical (no. 33)",シ,"修士 (しゅうし·1) = Masters degree program (programme); 紳士 (しんし·1) = gentleman; 代議士 (だいぎし·3) = parliamentarian, member of a congress; 同士 (どうし·1) = fellow, companion, comrade, mutual; 博士 (はくし·1) = doctorate, PhD, Dr (as a title), expert, learned person",お互い仇同士だ。,,お互い 仇同士 だ,,
変,"unusual, change, strange","ヘン; か.わる, か.わり, か.える","急変 (きゅうへん·0) = sudden turn, sudden change, (suddenly occurring) accident; 相変らず (あいかわらず·0) = as ever, as usual, the same; 大変 (たいへん·0) = very, greatly, immense, enormous, great, serious, grave, dreadful, terrible, difficult, hard, major incident, disaster; 不変 (ふへん·0) = eternal, everlasting, unchangeable, immutable, immovable, constant, permanent, indestructible; 変 (へん·1) = strange, odd, peculiar, weird, curious, queer, eccentric, funny, suspicious, fishy, unexpected, change, incident, disturbance, disaster, accident, flat (music)",変ですね。,,変 です ね(#2029080),亠 夂,"麦,衣,抜"
夫,"husband, man","フ, フウ, ブ; おっと, そ.れ","功夫 (くふう·0) = device, scheme, devising, scheming, dedication to spiritual improvement (esp. through Zen meditation); 大丈夫 (だいじょうぶ·3) = safe, all right, OK; 夫 (おっと·0) = husband; 夫妻 (ふさい·1,2) = man and wife, married couple; 夫人 (はしかし·0) = wife, Mrs, madam, wife of a nobleman (aristocrat, etc.), consort of the emperor",漁夫の利。,,漁夫 の 利,人 二 大 亠,"替,潜,峡"
央,"center, middle",オウ,"中央 (ちゅうおう·3,0) = centre, central, center, middle",中央線ですね。,,NI です ね(#2029080),ノ 一 大 冖,"矢,瑛,奔"
失,"lose, error, fault, disadvantage, loss","シツ; うしな.う, う.せる","過失 (かしつ·0) = error, blunder, accident, fault, defect; 見失う (みうしなう·0,4) = to lose sight of, to miss; 失格 (しっかく·0) = disqualification, elimination, incapacity (legal); 失業 (しつぎょう·0) = unemployment; 失敬 (しっけい·3) = rudeness, saying good-bye, acting impolitely, stealing, impoliteness, disrespect, impertinence",どうも失礼。,,どうも 失礼,ノ 人 二 大,"葵,邦,芙"
委,"committee, entrust to, leave to, devote, discard",イ; ゆだ.ねる,"委員 (いいん·1) = committee member; 委員会 (いいんかい·2,0) = committee meeting, committee; 委任 (いにん·0) = charge, trust; 委しい (くわしい·3) = knowing very well, detailed, full, accurate",彼は委員会の委員だ。,,彼(かれ) は 委員会 の 委員 だ,禾 女,"倭,香,要"
季,seasons,キ,"季語 (きご·1) = seasonal word (in haiku); 季節 (きせつ·2,1) = season; 四季 (しき·2,1) = four seasons; 冬季 (とうき·1) = (season of) winter; 雨季 (うき·1) = rainy season",雨季が始まった。,,雨季 が 始まる,禾 子,"香,稚,移"
孫,"grandchild, descendants",ソン; まご,"子孫 (しそん·1) = descendants, posterity, offspring; 孫 (まご·2) = grandchild",彼らは孫を誉めた。,,彼ら(かれら) は 孫 を 褒める,ノ 子 糸 幺 小,"紗,系,級"
守,"guard, protect, defend, obey","シュ, ス; まも.る, まも.り, もり, -もり, かみ","御守 (おまもり·0) = charm, amulet; 見守る (みまもる·0,3) = to watch over, to watch attentively; 厳守 (げんしゅ·1) = strict observance; 守衛 (しゅえい·0) = security guard, doorkeeper; 守備 (しゅび·1) = defense, defence",母は留守です。,,母(はは) は 留守 です,寸 宀,"狩,討,耐"
完,"perfect, completion, end",カン,"完成 (かんせい·0) = complete, completion, perfection, accomplishment; 完全 (かんぜん·0) = perfection, completeness; 完了 (かんりょう·0) = completion, conclusion, perfective (form, aspect); 不完全 (ふかんぜん·2) = imperfect, incomplete, faulty, defective; 完壁 (かんべき) = perfect, complete, flawless",完璧だ！,,完璧 だ,二 儿 宀 元,"莞,頑,穴"
官,"bureaucrat, the government",カン,"官庁 (かんちょう·1) = government office, authorities; 官邸 (かんてい·0) = official residence; 官僚 (かんりょう·0) = bureaucrat, bureaucracy; 器官 (きかん·1,2) = organ (of body), instrument; 警官 (けいかん·0) = policeman",勝てば官軍。,,勝つ 官軍,口 宀 ｜,"棺,中,管"
定,"determine, fix, establish, decide","テイ, ジョウ; さだ.める, さだ.まる, さだ.か","安定 (あんてい·0) = stability, equilibrium; 案の定 (あんのじょう·3) = just as one thought, as usual; 一定 (いちじょう·0) = fixed, settled, constant, definite, uniform, regularized, regularised, defined, standardized; 仮定 (かてい·0) = assumption, supposition, hypothesis; 確定 (かくてい·0) = decision, settlement, definition",お勘定です。,,御(お) 勘定 です,疋 宀,"錠,是,安"
実,"reality, truth","ジツ, シツ; み, みの.る, まこと, まことに, みの, みち.る","忠実 (ちゅうじつ·0) = faithful, loyal, devoted, hardworking, painstaking, diligent, healthy, fit; 果実 (かじつ·1) = fruit, nut, berry; 確実 (かくじつ·0) = certainty, reliability, soundness; 現実 (げんじつ·0) = reality; 口実 (こうじつ·0) = excuse, pretext",パー確実だ。,,パー(#1100380) 確実 だ,士 大 宀,"突,寮,寄"
客,"guest, visitor, customer, client","キャク, カク","観客 (かんきゃく·0) = audience, spectator(s); 客 (きゃく·0) = guest, customer; 客観 (かくかん·0) = object (as opposed to subject); 客観的 (きゃっかんてき·0) = objective; 客室 (きゃくしつ·0) = drawing room, guest room",お客様は？,,お客様 は,口 夂 宀,"額,舌,石"
宮,"Shinto shrine, constellations, palace, princess","キュウ, グウ, ク, クウ; みや","宮 (みや·0) = palace, shrine; 宮殿 (きゅうでん·0) = palace; 神宮 (じんぐう·3) = Shinto shrine; 王宮 (おうきゅう·0) = royal palace; 子宮 (しきゅう·0) = womb, uterus",子供は子宮に従う。,,子供 は 子宮 に 従う,口 宀 ノ,"呂,史,舌"
害,"harm, injury",ガイ,"加害者 (かがいしゃ·2) = assailant; 害 (がい·1) = injury, harm, evil influence, damage; 害虫 (がいちゅう·0) = harmful insect, noxious insect; 公害 (こうがい·0) = pollution, public nuisance, contamination; 災害 (さいがい·0) = calamity, disaster, misfortune",害になる薬もある。,,害 になる 薬(くすり) も 有る,口 土 亠 宀 二,"轄,割,吐"
宿,"inn, lodging, dwell, lodge, be pregnant, home, dwelling","シュク; やど, やど.る, やど.す","下宿 (げしゅく·0) = boarding, lodging, boarding house; 合宿 (がっしゅく·0) = lodging together, boarding house; 宿 (やど·1) = inn, lodging; 宿屋 (やどや·0) = inn; 宿題 (しゅくだい·0) = homework",宿題で忙しい。,,宿題 で(#2028980) 忙しい(いそがしい),化 白 宀,"伯,縮,優"
察,"guess, presume, surmise, judge, understand",サツ,"観察 (かんさつ·0) = observation, survey; 警察 (けいさつ·0) = police; 検察 (けんさつ·0) = examination, prosecutor; 察する (さっする·0,3) = to guess, to sense, to presume, to judge, to sympathise with; 視察 (しさつ·0) = inspection, observation",警察を呼んで！,,警察 を 呼ぶ,ノ 示 二 小 宀 癶,"擦,宗,際"
寺,Buddhist temple,ジ; てら,"寺 (てら·2,0) = temple (Buddhist); 寺院 (じいん·1) = temple",寺の隣に鬼が住む。,,寺(てら) 之(の) 隣 に 鬼 が 住む,寸 土,"封,詩,時"
対,"vis-a-vis, opposite, even, equal, versus, anti-, compare","タイ, ツイ; あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う","応対 (おうたい·0,1) = receiving, dealing with; 絶対 (ぜったい·0) = absoluteness, absolute, unconditional, unmistakable; 相対的 (そうたいてき·0) = relative; 対応 (たいおう·0) = interaction, correspondence, coping with, dealing with, support; 対決 (たいけつ·0) = confrontation, showdown",絶対だよ！,,絶対 だ よ,寸 文,"討,蚊,耐"
局,"bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment",キョク; つぼね,"局 (きょく·1) = channel (ie TV or radio), station, department, affair, situation; 結局 (けっきょく·(名)4,0,(副)0) = after all, eventually; 支局 (しきょく·2,0) = branch office; 政局 (せいきょく·0) = political situation; 当局 (とうきょく·1) = authorities, this office",結局失敗するさ。,,結局 失敗 為る(する) さ,口 尸,"居,嘱,舌"
岩,"boulder, rock, cliff",ガン; いわ,"岩 (いわ·2) = rock, boulder; 岩石 (がんせき·1) = rock, boulder; 溶岩 (ようがん·1,0) = lava; 岩場 (いわば·0) = rocky area; 火成岩 (かせいがん·2) = ignite rocks",私は岩本和人です。,,私(わたし) は です,口 山 石,"舌,石,拓"
岸,beach,ガン; きし,"沿岸 (えんがん·0) = coast, shore; 海岸 (かいがん·0) = coast, beach; 岸 (きし·2) = bank, coast, shore; 岸辺 (きしべ·0,3) = bank (of a river); 河岸 (かし·0) = river bank, riverside, fish market",海岸に行ったよ。,,海岸 に 行く よ,干 山 厂,"炭,巌,辰"
島,island,トウ; しま,"半島 (はんとう·0) = peninsula; 列島 (れっとう·0) = archipelago, chain of islands",日本は島国だ。,,日本 は 島国 だ,山 鳥 白,"迫,舶,皇"
州,"state, province","シュウ, ス; す","州 (しゅう·1) = state, province; 本州 (ほんしゅう·1) = Honshu (main island of Japan); 九州 (きゅうしゅう·1) = Kyushu (southern island of Japan); 欧州 (おうしゅう·1) = Europe; 豪州 (ごうしゅう·1) = Australia",彼は九州へ旅立った。,,彼(かれ) は 九州 へ 旅立つ,｜ 川 丶,"酬,洲,否"
巣,"nest, rookery, hive, cobweb, den","ソウ; す, す.くう","巣 (す·1,0) = nest, den, beehive; 巣穴 (すあな) = burrow, den; 巣立つ (すだつ·2) = to leave the nest, to stand on one's own; 卵巣 (らんそう·0) = ovary; 病巣 (びょうそう·0) = focus of infection",空巣にやられた。,,空巣 に 遣る,尚 田 木,"課,裸,菓"
差,"distinction, difference, variation, discrepancy, margin, balance","サ; さ.す, さ.し","格差 (かくさ·1) = qualitative difference, disparity; 誤差 (ごさ·1) = measurement error, calculation error; 差 (さ·0) = difference, variation; 差し引き (さしひき·2) = deduction, subtraction, balance, ebb and flow, rise and fall",時差ボケで辛い。,,時差ぼけ で(#2028980) 辛い(つらい),ノ 王 工 并 羊,"瑳,嵯,羊"
希,"hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal","キ, ケ; まれ","希 (まれ·0,2) = rare, seldom; 希望 (きぼう) = hope, wish",あまり希望がない。,,余り 希望 が 無い,ノ 一 巾,"布,怖,稀"
席,"seat, mat, occasion, place",セキ; むしろ,"客席 (きゃくせき·0) = guest seating; 欠席 (けっせき·0) = absence, non-attendance; 座席 (ざせき·0) = seat; 出席 (しゅっせき·0) = attendance, presence; 席 (せき·1) = seat",満席です。,,満席 です,巾 广 一 凵,"凹,庁,希"
帯,"sash, belt, obi, zone, region","タイ; お.びる, おび","一帯 (いったい·0) = region, zone, whole place; 温帯 (おんたい·0) = temperate zone; 携帯 (ケータイ·0) = something carried (in the hand), handheld, mobile telephone, cell phone; 所帯 (しょたい·2,1) = household, home, family, housekeeping; 地帯 (ちたい·1) = area, zone",包帯をしなさい。,,包帯 を 為る(する) 為さい,｜ 一 巾 冖,"師,華,畳"
帳,"notebook, account book, album",チョウ; とばり,"通帳 (つうちょう·0) = passbook, bankbook",電話帳はどこ？,,電話帳 は 何処,巾 長,"脹,張,錦"
平,"even, flat, peace","ヘイ, ビョウ, ヒョウ; たい.ら, -だいら, ひら, ひら-","公平 (こうへい·0) = fairness, impartial, justice; 水平 (すいへい·0) = level, horizontality; 水平線 (すいへいせん·0) = horizon (related to sea or lakes); 地平線 (ちへいせん·0) = horizon (related to land); 不公平 (ふこうへい·2) = unfairness, injustice, partiality",平熱です。,,平熱 です,干 并,"坪,南,献"
幸,"happiness, blessing, fortune","コウ; さいわ.い, さち, しあわ.せ","幸い (さいわい·0) = happiness, blessedness; 幸福 (こうふく·0) = happiness, blessedness; 不幸 (ふこう·2) = unhappiness, sorrow, misfortune, disaster, accident, death",お幸せに！,,御(お) 幸せ,十 辛 立 亠,"倖,報,辛"
底,"bottom, sole, depth, bottom price, base, kind, sort",テイ; そこ,"海底 (かいてい·0) = bottom of the ocean; 底 (そこ·0) = bottom, sole; 徹底 (てってい·0) = thoroughness, completeness; 到底 (とうてい·0) = (cannot) possibly",底を持ってくれ。,,底(そこ) を 持つ 呉れる,氏 广,"麻,鹿,邸"
府,"borough, urban prefecture, govt office, representative body, storehouse",フ,"政府 (せいふ·1) = government, administration; 府庁 (ふちょう·2) = prefectural office; 府立 (ふりつ·1,0) = managed by an urban prefecture",政府打倒。,,政府 打倒,化 寸 广,"腐,付,附"
庫,"warehouse, storehouse","コ, ク; くら","金庫 (かねぐら·0) = safe, vault, treasury, provider of funds; 車庫 (しゃこ·1) = garage, car shed, carport; 倉庫 (そうこ·1) = storehouse, warehouse, godown; 文庫 (ぶんこ·0,1) = library, book collection, paperback book; 冷蔵庫 (れいぞうこ·3) = refrigerator",在庫がありません。,,在庫 が 有る,車 广,"麻,鹿,陣"
庭,"courtyard, garden, yard",テイ; にわ,"家庭 (かてい·0) = home, family, household; 校庭 (こうてい·0) = schoolyard, campus; 市庭 (いちば·1) = (town) market, (the) marketplace; 中庭 (なかにわ·0) = courtyard, quadrangle, middle court; 庭 (にわ·0) = garden",家庭は円満だ。,,家庭 は 円満 だ,王 广 廴,"艇,廷,麻"
康,"ease, peace",コウ,"健康 (けんこう·0) = health, sound, wholesome",彼は健康だ。,,彼(かれ) は 健康 だ,ヨ 水 广 隶,"録,逮,禄"
式,"style, ceremony, rite, function, method, system, form, expression",シキ,"株式 (かぶしき·2) = stock (company); 儀式 (ぎしき·1) = ceremony, rite, ritual, service; 旧式 (きゅうしき·0) = old type, old style; 形式 (けいしき·0) = form, formality, format, appearance, mode, math expression; 形式的 (けいしきてき·0) = formal",その車は最新式だ。,,其の 車(くるま) は 最新式 だ,工 弋,"虹,江,武"
弓,"bow, bow (archery, violin)",キュウ; ゆみ,"弓 ""(ゆみ) = bow (and arrow); 弓道 (きゅどう·1) = archery""",この弓は張りが強いです。,,此の 弓 は 張り(はり) が 強い(つよい) です,,
当,"hit, right, appropriate, himself","トウ; あ.たる, あ.たり, あ.てる, あ.て, まさ.に, まさ.にべし","該当 (がいとう·0) = corresponding, answering to, coming under, applying to; 割当てる (わりあてる·4) = to assign, to allot, to allocate, to divide among, to distribute, to prorate; 見当 (けんとう·3) = aim, mark, estimate, guess, approximation, direction; 心当たり (こころあたり·4) = having some knowledge of, happening to know; 正当 (せいとう·0) = just, justifiable, right, due, proper, equitable, reasonable, legitimate, legal, lawful",本当に？,,本当に,ヨ 尚,"耀,隠,雪"
形,"shape, form, style","ケイ, ギョウ; かた, -がた, かたち, なり","形見 (かたみ·0) = memento, souvenir; 形式 (けいしき·0) = form, formality, format, appearance, mode, math expression; 形式的 (けいしきてき·0) = formal; 形成 (けいせい·0) = formation, molding, taking form; 形容詞 (けいようし·3) = (true) adjective, i-adjective",それは人形です。,,其れ は 人形(にんぎょう) です,廾 彡 ノ 二 一,"刑,邦,三"
役,"duty, war, campaign, drafted labor, office, service, role","ヤク, エキ","区役所 (くやくしょ·2) = ward office, council (regional); 現役 (げんえき·0) = active duty, active service; 市役所 (しやくしょ·2) = municipal office, council, city hall; 主役 (しゅやく·0) = leading part, leading actor (actress); 重役 (おもやく·0) = director, high executive, (person with) heavy responsibilities",私は役員になった。,,私(わたし) は 役員 になる,彳 殳 几 又,"鍛,設,般"
径,"diameter, path, method","ケイ; みち, こみち, さしわたし, ただちに","径 (みち·0) = road, street, way, method; 半径 (はんけい·1) = radius",湖は直径３マイルある。,,湖(みずうみ) は 直径 哩 有る,土 又 彳,"行,皮,圭"
徒,"junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people","ト; いたずら, あだ","生徒 (せいと·1) = pupil; 徒歩 (とほ·1) = walking, going on foot",トムは生徒です。,,は 生徒 です,走 土 彳,"行,圭,越"
得,"gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit","トク; え.る, う.る","獲得 (かくとく·0) = acquisition, possession; 取得 (しゅとく·0) = acquisition; 拾得 (しゅうとく·0) = picking up, finding; 所得 (しょとく·0) = income, earnings; 心得 (こころえ·3,4) = knowledge, information",説得に努めた。,,説得 に 努める,寸 日 彳 一,"晋,旦,行"
必,"invariably, certain, inevitable",ヒツ; かなら.ず,"必ず (かならず·0) = necessarily, certainly, without fail, positively, invariably; 必ずしも (かならずしも·4) = (not) always, (not) necessarily, (not) all, (not) entirely; 必修 (ひっしゅう·0) = required (subject); 必須 (ひっす·0) = indispensable, required; 必然 (ひつぜん·0) = inevitable, necessary",君が必要だ。,,君(きみ) が 必要 だ,ノ 心,"秘,泌,感"
念,"wish, sense, idea, thought, feeling, desire, attention",ネン,"概念 (がいねん·1) = general idea, concept, notion; 観念 (かんねん·1) = idea, notion, conception, sense (eg of duty), resignation, preparedness, acceptance; 記念 (きねん·0) = commemoration, memory; 記念日 (きねんび·2) = holiday, anniversary, memorial day; 懸念 (けねん·0,1) = worry, fear, anxiety, concern",残念だ！,,残念 だ,｜ 一 心 个,"今,稔,慧"
息,"breath, respiration, son, interest (on money)",ソク; いき,"休息 (きゅうそく·0) = rest, relief, relaxation; 消息 (しょうそく·0) = news, letter, circumstances; 息 (おき·1) = breath, breathing, tone, mood; 息 (そく·1) = son, penis; 息切れ (いきぎれ·0,4) = shortness of breath",休息しろ。,,休息 為る(する),自 心 目,"憩,臭,想"
悲,"jail cell, grieve, sad, deplore, regret","ヒ; かな.しい, かな.しむ","慈悲 (じひ·1) = compassion, benevolence, charity, mercy; 悲観 (ひかん·0) = pessimism, disappointment; 悲劇 (ひげき·1) = tragedy, disaster; 悲惨 (ひさん·0) = disastrous, tragic, miserable, wretched, pitiful; 悲鳴 (ひめい·0) = shriek, scream",ああ悲しい。,,嗚呼 悲しい,心 非,"輩,罪,斐"
想,"concept, think, idea, thought","ソウ, ソ; おも.う","回想 (かいそう·0) = reflection, reminiscence; 感想 (かんそう·0) = impressions, thoughts; 空想 (くうそう·0) = daydream, fantasy, fancy, vision; 幻想 (げんそう·0) = illusions; 構想 (こうそう·0) = plan, plot, idea, conception",それの感想は？,,其れ の 感想 は,心 木 目,"相,霜,植"
愛,"love, affection, favourite",アイ; いと.しい,"愛 (あい·1) = love, affection; 愛しい (いとしい·3) = lovely, dear, beloved, darling; 愛する (あいする·3) = to love; 愛情 (あいじょう·0) = love, affection; 愛読 (あいどく·0) = reading with pleasure",愛してる。,,愛する,心 爪 冖 夂,"慶,憂,優"
感,"emotion, feeling, sensation",カン,"感じ (かんじ·0) = feeling, sense, impression; 感じる (かんじる·0) = to feel, to sense, to experience; 感覚 (かんかく·0) = sense, sensation; 感激 (かんげき·0) = deep emotion, impression, inspiration; 感謝 (かんしゃ·1) = thanks, gratitude",同感です。,,同感 です,ノ 口 心 戈,"憾,惑,成"
成,"turn into, become, get, grow, elapse, reach","セイ, ジョウ; な.る, な.す, -な.す","完成 (かんせい·0) = complete, completion, perfection, accomplishment; 既成 (きせい·0) = established, completed, existing; 形成 (けいせい·0) = formation, molding, taking form; 結成 (けっせい·0) = formation; 構成 (こうせい·0) = organization, organisation, configuration, composition",大賛成です。,,大賛成 です,ノ 戈,"誠,茂,盛"
戦,"war, battle, match","セン; いくさ, たたか.う, おのの.く, そよぐ, わなな.く","策戦 (さくせん·0) = military or naval operations, tactics, strategy; 終戦 (しゅうせん·0) = end of war, cessation of hostilities; 戦災 (せんさい·0) = war damage; 戦死 (せんし·0) = death in action; 戦車 (せんしゃ·1) = tank (military vehicle)",戦いに勝つ。,,戦い に 勝つ,十 尚 田 戈,"単,卑,禅"
戸,"door, counter for houses, door radical (no. 63)",コ; と,"井戸 (いど·1) = water well; 雨戸 (あまど·2) = sliding storm door; 戸籍 (こせき·0) = census, family register; 戸棚 (とだな·0) = cupboard, locker, closet, wardrobe; 戸締り (とじまり·2) = closing up, fastening the doors",戸を閉めろ。,,戸(と) を 閉める,一 尸,"雇,肩,炉"
才,"genius, years old, cubic shaku",サイ,"才能 (さいのう·0) = talent, ability; 才 (さい·1) = -years-old, ability, gift, talent, aptitude, genius; 秀才 (しゅうさい·0) = prodigy; 人才 (じんさい·0) = man of talent, capable person; 天才 (てんさい·0) = genius, prodigy, natural gift",彼は天才だ。,,彼(かれ) は 天才 だ,ノ 一 亅,"丞,閉,材"
打,"strike, hit, knock, pound, dozen","ダ, ダアス; う.つ, う.ち-, ぶ.つ","打上げる (うちあげる·0,4) = to launch, to shoot up, (of waves) dash, to wash up (ashore), to finish, to close; 打つ (うつ·1) = to hit (something inanimate), to strike, to beat (on something), to type, to tap (eg a key); 打撃 (だげき·0) = blow, shock, strike, damage, batting (baseball); 打破 (だは·1) = break-down, defeat, abolish; 打撲 (だぼく·0) = blow, hit (on the body), beating",政府打倒。,,政府 打倒,亅 扎,"推,排,拷"
投,"throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss","トウ; な.げる, -な.げ","投げる (なげる·2) = to throw, to cast away, to face defeat, to give up; 投じる (とうじる·0,3) = to throw, to cast, to invest; 投影 (とうえい·0) = projection; 投資 (とうし·0,1) = investment; 投書 (とうしょ·0) = letter to the editor, letter from a reader, contribution",反対投票多数。,,反対 投票 多数,扎 殳 几 又,"搬,鍛,設"
折,"fold, break, fracture, bend, yield, submit","セツ; お.る, おり, お.り, -お.り, お.れる","屈折 (くっせつ·0) = bending, indentation, refraction, inflection; 骨折 (こっせつ·0) = bone fracture; 折 (おり·2) = chance, suitable time; 折り返し (おりかえし·0) = by return, (call or write back) without delay, lapel, cuffs, flap, chorus, refrain, repetition, aliasing (in imaging), shuttle service, back-to-back, BTB; 折り返す (おりかえす·3,0) = to turn up, to fold back, to loopback (a signal, a message)",二つ折り厳禁。,,二つ折り 厳禁,斤 扎,"逝,誓,哲"
拾,"pick up, gather, find, go on foot, ten","シュウ, ジュウ; ひろ.う","収拾 (しゅうしゅう·0) = control, settling, coping; 拾う (ひろう·0) = to pick up, to find, to gather; 拾得 (しゅうとく·0) = picking up, finding",拾った者が持ち主。,,拾う 者(もの) が 持ち主,口 个 扎 一,"搭,含,吟"
指,"finger, point to, indicate, put into, play (chess), measure (ruler)","シ; ゆび, さ.す, -さ.し","指 (ゆび·2) = finger; 指す (さす·1) = to point, to nominate, to select someone, to specify some person, to identify, to indicate, to point out; 指揮 (しき·2,1) = command, direction; 指示 (しじ·1) = indication, instruction, designation, directions; 指し図 (さしず·1) = instruction, mandate, directions",指を切りました。,,指 を 切る,日 匕 扎,"掲,旨,老"
挙,"raise, plan, project, behavior, actions","キョ; あ.げる, あ.がる, こぞ.る","選挙 (せんきょ·1) = election; 挙句 (あげく·0) = in the end, finally, after all, at last",彼は手を挙げた。,,彼(かれ) は 手を上げる,手 尚 ハ,"八,掌,鎖"
改,"reformation, change, modify, mend, renew, examine, inspect, search","カイ; あらた.める, あらた.まる","改めて (あらためて·3) = another time, again, over again, anew, formally; 改革 (かいかく·0) = reform, reformation, innovation; 改札 (かいさつ·0) = examination of tickets; 改正 (かいせい·0) = revision, amendment, alteration; 改善 (かいぜん·0) = betterment, improvement, incremental and continuous improvement",法律が改正された。,,法律 が 改正 為れる,已 攵 乞,"竹,巳,己"
放,"set free, release, fire, shoot, emit, banish, liberate","ホウ; はな.す, -っぱな.し, はな.つ, はな.れる, こ.く, ほう.る","解放 (かいほう·0) = release, unleashing, liberation, emancipation, deallocation (of computer memory), setting free; 開放 (かいほう·0) = open, throw open, liberalization, liberalisation; 釈放 (しゃくほう·0) = release, liberation, acquittal; 追放 (ついほう·0) = exile, banishment; 放す (はなす·2) = to separate, to set free, to turn loose",腕を放して。,,腕(うで) を 放す,方 攵 乞,"倣,激,敷"
救,"salvation, save, help, rescue, reclaim",キュウ; すく.う,"救い (すくい·0) = help, aid, relief, salvation; 救う (すくう·0) = to rescue from, to help out of, to save; 救援 (きゅうえん·0) = relief, rescue, reinforcement; 救急車 (きゅうきゅうしゃ·3) = ambulance; 救済 (きゅうさい·0) = relief, aid, rescue, salvation, help",彼は救い難い。,,彼(かれ) は 救う 難い(にくい),水 丶 攵 乞,"永,氷,竹"
敗,"failure, defeat, reversal",ハイ; やぶ.れる,"失敗 (しっぱい·0) = failure, mistake, blunder; 勝敗 (しょうはい·0) = victory or defeat, issue (of battle); 敗る (やぶる·2) = to tear, to violate, to defeat, to smash, to destroy; 敗戦 (はいせん·0) = defeat, losing a war; 敗北 (はいぼく·0) = defeat (as a verb it means 'to be defeated')",失敗したなあ。,,失敗 為る(する) なあ,貝 目 ハ 攵 乞,"買,貝,貧"
散,"scatter, disperse, spend, squander","サン; ち.る, ち.らす, -ち.らす, ち.らかす, ち.らかる, ばら","解散 (かいさん·0) = breakup, dissolution; 散らかる (ちらかる·0) = to be in disorder, to lie scattered around; 散らし (チラシ·0) = scattering, leaflets; 散らす (ちらす·0) = to scatter, to disperse, to distribute; 散らばる (ちらばる·0) = to be scattered about",散歩をした。,,散歩 を 為る(する),月 攵 廾 二 乞,"竹,朋,脩"
数,"number, strength, fate, law, figures","スウ, ス, サク, ソク, シュ; かず, かぞ.える, しばしば, せ.める, わずらわ.しい","過半数 (かはんすう·2,4) = majority; 画数 (かくすう·3) = stroke count; 回数 (かいすう·3) = number of times, frequency, count; 回数券 (かいすうけん·3) = book of tickets; 奇数 (きすう·2) = odd number",反対投票多数。,,反対 投票 多数,女 米 攵 夂 乞,"竹,牧,楼"
整,"organize, arranging, tune, tone, meter, key (music)","セイ; ととの.える, ととの.う","整備 (せいび·1) = maintenance, servicing, outfitting; 整理 (せいり·1) = sorting, arrangement, organization, putting in order, adjustment, regulation, liquidation; 整列 (せいれつ·0) = standing in a row, forming a line, alignment; 調整 (ちょうせい·0) = regulation, adjustment, tuning, modification, alteration",髪を整えないと。,,髪 を 整える 無いと,｜ 一 口 止 木 攵 乞,"疎,政,柾"
旗,"national flag, banner, standard",キ; はた,旗 (はた·2) = flag; 国旗 (こっき·0) = national flag,彼は旗をかかげた。,,彼(かれ) は 旗 を 掲げる,甘 ハ 方 乞,"竹,八,欺"
